ROWID,Country,State lgd code,State,District lgd code,District,YearCode,Year,Class,Number of schools surveyed,Number of students surveyed,Average performance of students on learning outcome L813 Language,Average performance of students on learning outcome M601 Mathematics,Average performance of students on learning outcome M606 Mathematics,Average performance of students on learning outcome M620 Mathematics,Average performance of students on learning outcome M621 Mathematics,Average performance of students on learning outcome M702 Mathematics,Average performance of students on learning outcome M705 Mathematics,Average performance of students on learning outcome M706 Mathematics,Average performance of students on learning outcome M707 Mathematics,Average performance of students on learning outcome M710 Mathematics,Average performance of students on learning outcome M717 Mathematics,Average performance of students on learning outcome M719 Mathematics,Average performance of students on learning outcome M721 Mathematics,Average performance of students on learning outcome M801 Mathematics,Average performance of students on learning outcome M802 Mathematics,Average performance of students on learning outcome M803 Mathematics,Average performance of students on learning outcome M804 Mathematics,Average performance of students on learning outcome M808 Mathematics,Average performance of students on learning outcome M812 Mathematics,Average performance of students on learning outcome M818 Mathematics,Average performance of students on learning outcome M819 Mathematics,Average performance of students on learning outcome SCI703 Science,Average performance of students on learning outcome SCI704 Science,Average performance of students on learning outcome SCI705 Science,Average performance of students on learning outcome SCI708 Science,Average performance of students on learning outcome SCI710 Science,Average performance of students on learning outcome SCI711 Science,Average performance of students on learning outcome SCI801 Science,Average performance of students on learning outcome SCI804 Science,Average performance of students on learning outcome SCI805 Science,Average performance of students on learning outcome SCI807 Science,Average performance of students on learning outcome SCI811 Science,Average performance of students on learning outcome SCI813 Science,Average performance of students on learning outcome SST605 Social Science,Average performance of students on learning outcome SST610 Social Science,Average performance of students on learning outcome SST625 Social Science,Average performance of students on learning outcome SST703 Social Science,Average performance of students on learning outcome SST704 Social Science,Average performance of students on learning outcome SST722 Social Science,Average performance of students on learning outcome SST726 Social Science,Average performance of students on learning outcome SST731 Social Science,Average performance of students on learning outcome SST733 Social Science,Average performance of students on learning outcome SST734 Social Science,Average performance of students on learning outcome SST802 Social Science,Average performance of students on learning outcome SST805 Social Science,Average performance of students on learning outcome SST807 Social Science,Average performance of students on learning outcome SST809 Social Science,Average performance of students on learning outcome SST810 Social Science,Average performance of students on learning outcome SST815 Social Science,Average performance of students on learning outcome SST816 Social Science,Average performance of students on learning outcome SST818 Social Science,Average performance of students on learning outcome SST823 Social Science,Average performance of students on learning outcome SST827 Social Science,Average performance of students on learning outcome SST831 Social Science,Average performance of students on learning outcome SST833 Social Science
1,India,1,Jammu And Kashmir,1,Anantnag,2017,"Calendar Year (Jan - Dec), 2017",8,204,2076,35,18.97,69.17,45.6,18.97,42.58,16.96,61.28,22.16,9.4,10.28,69.04,22.18,16.92,31.95,16.6,21.43,21.43,28.76,12.41,26.01,29.4,18.22,36.69,77.26,15.81,75.49,23.32,64.43,51.72,27.17,22.25,65.13,22.74,32.33,33.08,36.42,9.02,15.42,54.15,59.68,25.19,19.76,59.34,71.15,82.33,9.88,26.09,26.69,5.97,22.74,25.43,63.16,19.75,62.85
2,India,1,Jammu And Kashmir,1,Anantnag,2021,"Calendar Year (Jan - Dec), 2021",8,320,4964,64.87,62.03,59,34.21,51.54,39.84,24.43,34.24,41.77,33.43,42,52.03,40.59,45.54,48.67,51.71,41.01,55.53,49.29,35.14,39.04,51.32,57.85,50.78,56.54,51.48,35.95,58.89,45.47,50.16,47.26,59.36,60.21,50.4,34.11,35.92,57.57,60.96,55.2,57.99,69.64,52.89,56.91,54.7,37.75,43.84,45.25,31.03,45.31,42.13,58.41,55.57,46.18,38.84,78.39
3,India,1,Jammu And Kashmir,2,Budgam,2017,"Calendar Year (Jan - Dec), 2017",8,204,2604,48.63,40,43.81,44.51,22.22,35.79,46.85,54.17,49.16,30.65,36.51,57.87,48.21,40.18,46.43,53.97,50.89,37.5,38.1,17.26,53.15,42.65,40.02,40.73,58.06,46.35,38.73,45.59,43.81,43.36,56.84,43.16,59.91,45.01,33.04,15.48,65.28,16.07,38.41,62.54,57.46,65.77,52.7,53,33.97,52.68,26.67,51.75,49.4,21.04,48.69,36.41,52.08,38.1,60.95
4,India,1,Jammu And Kashmir,2,Budgam,2021,"Calendar Year (Jan - Dec), 2021",8,292,5108,58.49,59.27,47.53,29.62,46.43,36.24,23.74,29.37,40.91,33.08,32.8,46.32,39.42,42.95,42.28,47.26,40.07,48.67,47.04,32.57,32.36,46.52,49.73,44.53,49.52,41.88,30.79,52.28,37.46,44.71,38.68,53.04,54.46,46.71,25.01,38.25,50.52,47.45,43.4,46.1,66.98,37.87,47.67,44.47,34.77,35.72,37.66,24.32,40.71,32.46,43.07,33.25,38.71,33.43,70.93
5,India,1,Jammu And Kashmir,3,Baramulla,2017,"Calendar Year (Jan - Dec), 2017",8,172,2252,45.38,41.75,45.26,41.86,25.61,48.67,47.25,56.83,37.83,27.7,29.82,60.5,34.17,47.84,15.11,34.04,40.65,17.99,32.19,20.86,54.35,41.63,44.35,42.81,68.56,36.14,39.65,40.69,28.77,35.91,46.36,30.71,60.92,41.74,25.18,26.26,60.92,4.68,32.63,55.09,32.98,65.11,60.35,49.56,35.09,57.55,11.93,49.47,52.16,15.63,38.54,25.58,34.89,24.49,40
6,India,1,Jammu And Kashmir,3,Baramulla,2021,"Calendar Year (Jan - Dec), 2021",8,280,5532,58.37,55.49,48.22,27.73,42.88,33.04,23.2,25.24,36.6,26.62,32.45,45.51,44.29,38.2,43.22,44.3,33.71,44.71,42.64,33.87,30.8,46.47,52.07,51.06,49.43,44.05,31.83,53.29,39.82,49.43,43.76,52.22,52.33,44.99,21.51,37.18,54.31,55.15,42.86,32.24,63.41,41.22,57.2,49.95,33.73,35.48,38.47,26.27,36.67,30.91,50.74,44.45,38.95,37.16,68.44
7,India,1,Jammu And Kashmir,4,Doda,2017,"Calendar Year (Jan - Dec), 2017",8,204,2840,43.63,37.86,34.73,36.51,23.24,30.7,36.34,32.72,33.66,29.66,29.5,50.23,44.95,19.27,31.8,37.34,39.76,35.47,28.27,25.38,36.76,36.05,31.53,28.25,46.2,24.28,32.11,40.79,38.38,33.65,38.87,28.33,42.39,36.34,29.05,20.18,38.31,11.62,30.81,46.21,54.83,40.67,41.51,38.73,31.59,43.73,28.2,42.56,40.67,12.39,38.59,27.75,31.5,21.22,33.42
8,India,1,Jammu And Kashmir,4,Doda,2021,"Calendar Year (Jan - Dec), 2021",8,280,5164,48.39,57.27,49.14,27.24,36.5,28.63,16.34,28.18,32.38,28.46,30.33,40.72,31.94,32.42,39.12,38.55,30.88,40.4,36.54,26.28,25.76,42.14,32.06,33.57,42.07,36.45,25.54,42.72,32.36,37.43,31.81,42.94,45.73,31.03,22.55,38.2,44.01,36.02,36.36,37.89,49.04,33.02,34,37.29,25.82,32.78,35.43,21.84,32.33,21.99,40.62,39.81,37.4,31.02,60.19
9,India,1,Jammu And Kashmir,5,Jammu,2017,"Calendar Year (Jan - Dec), 2017",8,204,3136,40.63,41.71,29.4,30.37,28.64,27.3,43.88,26.68,41.2,22.54,30.15,47.04,33.94,30.05,27.72,38.19,25.91,39.12,20.73,33.94,35.71,39.51,32.14,28.8,29.85,23.12,25.13,38.54,39.2,28.97,32.14,27.19,33.29,35.97,19.95,23.32,34.57,9.33,25.38,31.91,38.44,40.93,31.16,38.65,37.69,44.3,26.88,36.93,23.58,18.88,24.11,21.68,29.27,21.45,39.45
10,India,1,Jammu And Kashmir,5,Jammu,2021,"Calendar Year (Jan - Dec), 2021",8,324,6276,69.26,60.12,59.4,34.01,51.27,43.38,27.28,31.09,46.62,35.59,38.86,52.27,51.62,43.64,47.94,52.02,40.95,52.31,47.41,33.84,38.77,49.86,54.37,55.01,55.47,47.96,30.5,62.24,41.24,50.13,35.34,55.73,59.57,47.45,27.67,38.59,60.58,59.4,54.46,36.51,69.03,41.68,50.28,39.99,31.83,47.9,48.78,33.11,43.45,40.35,51.84,46.11,43.87,36.61,75.75
